tile_id,x,y,people,hc1,hc2,pvhe
630,38,8,12,0.22672468,0.009093431,-0.0444898172861287
631,39,8,324,6.4192176,0.43427235,-0.04019869058806868
632,40,8,1097,22.83872,2.4539406,-0.02330221207169735
633,41,8,897,18.518944,1.7902911,-0.03655824649373631
634,42,8,2,0.039286777,0.00201369,-0.0448370768700909
641,49,8,2,0.03520341,0.0008144693,-0.062248110148524785
642,50,8,5,0.08724934,0.00204084,-0.0460081008410079
643,51,8,10,0.17276664,0.0039829975,-0.0460081008410079
702,36,9,7,0.13023268,0.0037422152,-0.04756535219147855
703,37,9,23,0.43844467,0.014627386,-0.04450396203587064
704,38,9,5,0.098225065,0.003987659,-0.04467632946001445
705,39,9,73,1.5007075,0.09298661,-0.040472920519470386
706,40,9,1114,24.196026,2.6105077,-0.024309828010803336
707,41,9,786,16.96248,1.650664,-0.0361073887104421
708,42,9,4,0.08205222,0.004408656,-0.05196339402949948
709,43,9,5,0.09910625,0.003742503,-0.04134048393642398
716,50,9,2,0.03606151,0.00084228284,-0.0460081008410079
717,51,9,5,0.08922129,0.0020567637,-0.0460081008410079
777,37,10,6,0.11884209,0.0041348203,-0.04711955395280891
778,38,10,12,0.2450177,0.010373129,-0.04923292746151836
779,39,10,49,1.0424415,0.06166986,-0.0553700364456882
780,40,10,814,18.23402,1.7958201,-0.035380105714890676
781,41,10,889,19.965172,1.9786135,-0.041635951400427924
